Name,Active substance,Amount of substance,Form,Prescription type
Edelan,Mometasoni furoas 1 mg/g,1 mg/g,Krem,Rp
Nalgesin,Naproxenum natricum 275 mg,275 mg,Tabletki powlekane,Rp
Nalgesin Forte,Naproxenum natricum 550 mg,550 mg,Tabletki powlekane,Rp
Amlozek,Amlodipini besilas 10 mg,10 mg,Tabletki,Rp
Proxacin 1%,Ciprofloxacinum 100 mg,10 mg/ml,Koncentrat do sporządzania roztworu do infuzji,Rp
Aprovel,Irbesartanum 150 mg,150 mg,Tabletki,Rp
Twinrix Adult,Vaccinum Hepatits A+B 1 ml (1 dawka),,Zawiesina do wstrzykiwań,Rp
AmBisome liposomal,Amphotericinum B 50 mg,50 mg,Proszek do sporządzania dyspersji do infuzji,Rp
Indapen SR,Indapamidum 1.54 mg,1.5 mg,Tabletki o przedłużonym uwalnianiu,Rp
Rulid,Roxithromycinum 50 mg,50 mg,Tabletki do sporządzania zawiesiny doustnej,Rp
Ursopol,Acidum ursodeoxycholicum 300 mg,300 mg,Kapsułki twarde,Rp
Bronchicum T,Thymi extractum fluidum 100 mg,100 mg,Tabletki do ssania,OTC
Arthryl Fast,Glucosamini sulfas 400 mg/2 ml + Lidocaini hydrochloridum 10 mg/2 ml,(400 mg + 10 mg)/2 ml,Roztwór do wstrzykiwań,Rp
NovoNorm,Repaglinidum 0.5 mg,0.5 mg,Tabletki,Rp
Flegamina Classic Junior o smaku truskawkowym,Bromhexini hydrochloridum 40 mg,2 mg/5 ml,Syrop,OTC
Neomycinum Jelfa,Neomycini sulfas 5 mg/g,5 mg/g,Maść do oczu,Rp
Citocartin 100,Articaini hydrochloridum 40 mg/ml + Adrenalinum 10 mg/ml,(40 mg + 10 mcg)/ml,Roztwór do wstrzykiwań,Rp
Lacipil,Lacidipinum 6 mg,6 mg,Tabletki powlekane,Rp
Loratadyna Galena,Loratadinum 10 mg,10 mg,Tabletki,OTC
Sortis 20,Atorvastatinum calcicum 21.7 mg,20 mg,Tabletki powlekane,Rp
Tramal Retard 200,Tramadoli hydrochloridum 200 mg,200 mg,Tabletki o przedłużonym uwalnianiu,Rp
Imovane,Zopiclonum 7.5 mg,7.5 mg,Tabletki powlekane,Rp
Xanax SR,Alprazolamum 0.5 mg,0.5 mg,Tabletki o przedłużonym uwalnianiu,Rp
Veral,Diclofenacum natricum 0.01 g/1 g,10 mg/g (1%),Żel,OTC
Ifapidin,Ticlopidini hydrochloridum 250 mg,250 mg,Tabletki powlekane,Rp
Pelogel,Wodny wyciąg borowinowy 80 g,-,Żel do stosowania na dziąsła,OTC
Lamitrin S,Lamotriginum 25 mg,25 mg,Tabletki do rozgryzania i żucia / do sporządzania zawiesiny,Rp
Cipramil,Citalopramum 20 mg,20 mg,Tabletki powlekane,Rp
Clodivac,Toksoid błoniczy ad 10 ml + Toksoid tężcowy nie mniej niż 40 j.m.,nie mniej niż 40 j.m. toksoidu tężcowego i nie mniej niż 5 j.m. toksoidu błoniczego/0.5 ml; 1 dawka (0.5 ml),Zawiesina do wstrzykiwań,Rp
Singulair 5,Montelukastum 5 mg,5 mg,Tabletki do rozgryzania i żucia,Rp
FANHDI,Ludzki VIII czynnik krzepnięcia krwi 500 j.m. + Ludzki czynnik von Willebranda 600 j.m.,50 j.m./ml; 500 j.m. + 60 j.m./ml; 600 j.m.,Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań i infuzji,Rp
Arthrotec,Diclofenacum natricum 50 mg + Misoprostolum 0.2 mg,50 mg + 0.2 mg,Tabletki,Rp
Bisocard,Bisoprololi fumaras 10 mg,10 mg,Tabletki powlekane,Rp
Coffepirine Tabletki od bólu głowy,Acidum acetylsalicylicum 450 mg + Coffeinum 50 mg,450 mg + 50 mg,Tabletki,OTC
Detimedac 100 mg,Dacarbazinum 100 mg,100 mg,Proszek do sporządzania roztworu do wstrzykiwań lub infuzji,Rp
Oxycort A,Oxytetracyclini hydrochloridum 10 mg + Hydrocortisoni acetas 10 mg,(10 mg + 10 mg)/g,Maść do oczu,Rp
Nicergolin,Nicergolinum 10 mg,10 mg,Tabletki,Rp
Bisocard,Bisoprololi fumaras 5 mg,5 mg,Tabletki powlekane,Rp
Zyrtec,Cetirizini dihydrochloridum 5 mg,1 mg/ml,Roztwór doustny,Rp
Bromocorn,Bromocriptini mesylas 2.87 mg,2.5 mg,Tabletki,Rp
ABE,Acidum lacticum 89 mg/g + Acidum salicylicum 89 mg/g,(89 mg + 89 mg)/g,Płyn na skórę,OTC
